cbass,temperature,sample,cell_count_1,cell_count_2,cell_count_3,mean,cells_/mm2,cells/ml,height,width,length,shape,mean_length_width,radius,surface_area,cell_nr,cell_nr_divided
CBASS8,30,T0_1,80,83,88,6.97,112,1115556,0.93,0.66,0.37,cylinder,0.515,0.258,1.5,741398,7
CBASS8,30,T0_2,25,30,25,2.22,36,355556,0.68,0.38,0.24,cylinder,0.31,0.155,0.66,536892,5
CBASS8,30,T0_3,51,53,58,4.5,72,720000,0.64,0.81,0.34,square,NA,NA,2.02,355942,4
CBASS8,30,T0_4,41,50,42,3.69,59,591111,0.61,0.35,0.61,cylinder,0.48,0.24,0.92,642611,6
CBASS8,33,T1_1,32,48,38,3.28,52,524444,0.6,0.27,NA,cylinder,NA,0.135,0.51,1030468,10
CBASS8,33,T1_2,101,87,71,7.19,115,1151111,0.83,0.41,0.75,square,NA,NA,2.54,453086,5
CBASS8,33,T1_3,33,27,31,2.53,40,404444,0.67,0.31,NA,cylinder,NA,0.155,0.65,619830,6
CBASS8,33,T1_4,20,23,17,1.67,27,266667,0.48,0.25,NA,cylinder,NA,0.125,0.38,707355,7
CBASS8,36,T2_1,7,6,13,0.72,12,115556,0.86,0.37,NA,cylinder,NA,0.185,1,115595,1
CBASS8,36,T2_2,51,54,59,4.56,73,728889,0.62,0.33,0.64,square,NA,NA,1.63,448492,4
CBASS8,36,T2_3,79,80,68,6.31,101,1008889,0.67,0.63,0.39,square,NA,NA,1.86,542939,5
CBASS8,36,T2_5,48,54,44,4.06,65,648889,0.71,0.67,0.42,square,NA,NA,2.11,307443,3
CBASS8,39,T3_1,18,19,26,1.75,28,280000,0.71,0.64,0.31,square,NA,NA,1.75,160385,2
CBASS8,39,T3_2,43,37,31,3.08,49,493333,0.67,0.76,0.33,square,NA,NA,1.96,251418,3
CBASS8,39,T3_3,38,38,35,3.08,49,493333,0.41,0.6,0.32,square,NA,NA,1.14,433357,4
CBASS8,39,T3_4,12,13,15,1.11,18,177778,0.48,0.53,NA,cylinder,NA,0.265,0.8,222439,2
